,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
0,adni,0,krum,unbalancedata,0.3,0.6536231935024261,0.0010913001854156426
1,adni,0,fedavg,overlapdata,0.1,0.6540579795837402,0.01414037260128094
2,adni,0,fedavg,labelflip,0.5,0.5402173846960068,0.0017824845879285004
3,adni,0,krum,deletedata,0.5,0.6856521666049957,0.0014563590798161632
4,adni,0,krum,overlapdata,0.5,0.6673913151025772,0.002977430028631249
5,adni,0,median,randomupdate,0.3,0.7196376770734787,0.0008396343701890795
6,adni,0,krum,labelflip,0.3,0.5928260833024979,0.0010305399121416257
7,adni,0,trimmedmean,backdoor,0.1,0.9505813717842102,0.003789645358828806
8,adni,0,trimmedmean,signflip,0.1,0.7289854884147644,0.0011104395562672577
9,adni,0,trimmedmean,unbalancedata,0.5,0.7358695417642593,0.0016065140685428882
10,adni,0,krum,noisedata,0.5,0.6937681138515472,0.0024437694897926536
11,adni,0,krum,randomupdate,0.5,0.7013043463230133,0.0012310507179622556
12,adni,0,median,labelflip,0.5,0.46130435168743134,0.004374586632591163
13,adni,0,trimmedmean,randomupdate,0.1,0.7410145103931427,0.0009065146596068687
14,adni,0,trimmedmean,randomupdate,0.5,0.67630435526371,0.006620877423505332
15,adni,0,krum,signflip,0.1,0.6345652192831039,0.0007728926441324778
16,adni,0,median,noisedata,0.5,0.7045652270317078,0.0019254121449682562
17,adni,0,median,labelflip,0.1,0.6968115866184235,0.0016023598379289322
18,adni,0,krum,deletedata,0.1,0.6162318885326385,0.0005361017995839351
19,adni,0,trimmedmean,labelflip,0.1,0.6910144984722137,0.0016034387337121238
20,adni,0,median,signflip,0.5,0.3449275493621826,0.0
21,adni,0,trimmedmean,clean,0,0.7542753666639328,0.0008794080389540442
22,adni,0,median,unbalancedata,0.1,0.7508695721626282,0.0012745539576841309
23,adni,0,fedavg,unbalancedata,0.1,0.7494927495718002,0.0012113107361815681
24,adni,0,trimmedmean,unbalancedata,0.3,0.7444927394390106,0.0016823966917597095
25,adni,0,trimmedmean,overlapdata,0.5,0.6400724649429321,0.012995674215770756
26,adni,0,krum,backdoor,0.1,0.5116279125213623,0.002848245245105705
27,adni,0,median,clean,0,0.7545652240514755,0.0012029720325841316
28,adni,0,median,signflip,0.3,0.6775362193584442,0.01298776318132135
29,adni,0,fedavg,unbalancedata,0.3,0.7465942054986954,0.0014475329567134692
30,adni,0,krum,noisedata,0.1,0.6585507094860077,0.0008069419739661855
31,adni,0,fedavg,noisedata,0.3,0.7373188585042953,0.0007929358450879417
32,adni,0,fedavg,backdoor,0.5,1.0,0.0
33,adni,0,trimmedmean,noisedata,0.5,0.7057246416807175,0.001368759556404802
34,adni,0,krum,overlapdata,0.1,0.6289130598306656,0.0007474628455777843
35,adni,0,fedavg,labelflip,0.1,0.6909420341253281,0.0011999776289978645
36,adni,0,krum,randomupdate,0.1,0.6110869795084,0.0005841819574236844
37,adni,0,krum,randomupdate,0.3,0.6685507297515869,0.003131937236240421
38,adni,0,trimmedmean,labelflip,0.5,0.4840579628944397,0.0031107743226644626
39,adni,0,krum,backdoor,0.5,0.6031976640224457,0.010174423456192017
40,adni,0,fedavg,backdoor,0.3,1.0,0.0
41,adni,0,median,unbalancedata,0.3,0.7536231875419617,0.0017440259671023088
42,adni,0,median,backdoor,0.3,0.9854651093482971,0.0008720934391021728
43,adni,0,fedavg,deletedata,0.1,0.7524637579917908,0.0011705008375062407
44,adni,0,trimmedmean,deletedata,0.5,0.7436231970787048,0.0014803880891068907
45,adni,0,krum,signflip,0.3,0.6617391407489777,0.0018425668896131246
46,adni,0,trimmedmean,signflip,0.5,0.3449275493621826,0.0
47,adni,0,fedavg,deletedata,0.3,0.7496376782655716,0.0010259837059622078
48,adni,0,krum,unbalancedata,0.1,0.6460869610309601,0.0008271041213499244
49,adni,0,median,backdoor,0.1,0.9215116500854492,0.0031935110326190815
50,adni,0,krum,overlapdata,0.3,0.6823913007974625,0.0005929977914824274
51,adni,0,median,signflip,0.1,0.7160869538784027,0.0015378328754200915
52,adni,0,median,noisedata,0.3,0.7238405793905258,0.0012107880699528699
53,adni,0,trimmedmean,deletedata,0.1,0.7484058141708374,0.0012839801927241436
54,adni,0,trimmedmean,backdoor,0.3,0.9869185984134674,0.002034884691238403
55,adni,0,median,deletedata,0.3,0.7465217411518097,0.0012255858105157252
56,adni,0,fedavg,signflip,0.3,0.3449275493621826,0.0
57,adni,0,median,unbalancedata,0.5,0.7403623312711716,0.0012274147327666007
58,adni,0,krum,backdoor,0.3,0.4854651093482971,0.008591515155767213
59,adni,0,krum,labelflip,0.1,0.6107246279716492,0.00036080191295897665
60,adni,0,krum,labelflip,0.5,0.45391304045915604,0.003259140814403971
61,adni,0,median,labelflip,0.3,0.6101449131965637,0.0024897357973998543
62,adni,0,trimmedmean,deletedata,0.3,0.7494202852249146,0.0012419325568604612
63,adni,0,fedavg,labelflip,0.3,0.5819565206766129,0.0014588100727987723
64,adni,0,median,overlapdata,0.5,0.6936956644058228,0.013615136898225428
65,adni,0,trimmedmean,overlapdata,0.3,0.7357246428728104,0.0038676466164282277
66,adni,0,krum,deletedata,0.3,0.6536956578493118,0.001835718723976607
67,adni,0,krum,clean,0,0.6337681114673615,0.0008347428545737521
68,adni,0,median,deletedata,0.1,0.7518840432167053,0.0014897275512714058
69,adni,0,fedavg,noisedata,0.5,0.7126086950302124,0.0006612744051444923
70,adni,0,trimmedmean,labelflip,0.3,0.6058695763349533,0.003098089282858256
71,adni,0,krum,unbalancedata,0.5,0.6756521910429001,0.0013557480268204427
72,adni,0,fedavg,randomupdate,0.5,0.6353623121976852,0.013337532495001029
73,adni,0,trimmedmean,backdoor,0.5,1.0,0.0
74,adni,0,fedavg,deletedata,0.5,0.7427536249160767,0.0011802396735376588
75,adni,0,krum,signflip,0.5,0.6745652109384537,0.0011079311936481968
76,adni,0,fedavg,clean,0,0.7484058141708374,0.0011842089368631413
77,adni,0,median,randomupdate,0.1,0.749782606959343,0.0009541705005881632
78,adni,0,median,backdoor,0.5,1.0,0.0
79,adni,0,median,noisedata,0.1,0.7390579730272293,0.001464679696297955
