,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
0,cifar,0.4,trimmedmean,signflip,0.3,0.10000000149011612,0.0
1,cifar,0.7,trimmedmean,signflip,0.1,0.10000000149011612,0.0
2,cifar,0,fedavg,noisedata,0.5,0.7205750048160553,0.0027761579333453984
3,cifar,0.7,fedavg,deletedata,0.1,0.7351249903440475,0.011943569531162903
4,cifar,0,median,labelflip,0.1,0.7485499978065491,0.00402130002225779
5,cifar,0,krum,backdoor,0.3,0.027000000700354576,0.007342783296981126
6,cifar,0.4,krum,randomupdate,0.5,0.62847501039505,0.030696642345717378
7,cifar,0,krum,labelflip,0.3,0.5505499988794327,0.21816079240417247
8,cifar,0,fedavg,unbalancedata,0.1,0.775625005364418,0.0014874225320186498
9,cifar,0.4,fedavg,noisedata,0.5,0.7083750069141388,0.007208109912755464
10,cifar,0,fedavg,overlapdata,0.1,0.7743749916553497,0.0017625444800976099
11,cifar,0,fedavg,deletedata,0.3,0.7551250010728836,0.0015521408761180193
12,cifar,0.7,fedavg,backdoor,0.1,0.9409999847412109,0.007791862049099968
13,cifar,0,median,labelflip,0.3,0.67289999127388,0.0515403162875014
14,cifar,0.4,trimmedmean,backdoor,0.1,0.8900000154972076,0.007927687591333856
15,cifar,0,trimmedmean,signflip,0.1,0.10000000149011612,0.0
16,cifar,0,trimmedmean,randomupdate,0.3,0.10000000149011612,0.0
17,cifar,0.7,median,signflip,0.3,0.10000000149011612,0.0
18,cifar,0.4,krum,signflip,0.3,0.6061750054359436,0.03767534180533017
19,cifar,0.4,median,randomupdate,0.5,0.10000000149011612,0.0
20,cifar,0,fedavg,backdoor,0.1,0.9179999828338623,0.006454396779938498
21,cifar,0,trimmedmean,labelflip,0.3,0.6722999960184097,0.03980275802247574
22,cifar,0.4,median,signflip,0.5,0.10000000149011612,0.0
23,cifar,0.4,median,labelflip,0.3,0.5412749946117401,0.030985168821743396
24,cifar,0.7,trimmedmean,labelflip,0.1,0.6968749910593033,0.01615596617741047
25,cifar,0.4,fedavg,randomupdate,0.5,0.10000000149011612,0.0
26,cifar,0.4,fedavg,labelflip,0.3,0.6680749952793121,0.10009849075260097
27,cifar,0,fedavg,labelflip,0.3,0.684474989771843,0.1003960436656344
28,cifar,0.7,fedavg,overlapdata,0.3,0.7308250069618225,0.015261617264099516
29,cifar,0,trimmedmean,signflip,0.3,0.10000000149011612,0.0
30,cifar,0,krum,randomupdate,0.3,0.706725001335144,0.007349357489242342
31,cifar,0.4,trimmedmean,backdoor,0.5,0.9670000076293945,0.004099774417240188
32,cifar,0.4,fedavg,deletedata,0.3,0.7461499869823456,0.004393731509438035
33,cifar,0.4,fedavg,clean,0,0.7662999927997589,0.005550799506445896
34,cifar,0.4,trimmedmean,randomupdate,0.5,0.10000000149011612,0.0
35,cifar,0,fedavg,unbalancedata,0.5,0.7705750018358231,0.001658046652207674
36,cifar,0,trimmedmean,signflip,0.5,0.10000000149011612,0.0
37,cifar,0,fedavg,randomupdate,0.3,0.10000000149011612,0.0
38,cifar,0.4,median,clean,0,0.7412000000476837,0.013033109783419032
39,cifar,0.7,median,signflip,0.1,0.638499990105629,0.04279453890343638
40,cifar,0.4,fedavg,signflip,0.3,0.10000000149011612,0.0
41,cifar,0.4,trimmedmean,clean,0,0.769325003027916,0.005388828358031901
42,cifar,0.4,krum,backdoor,0.3,0.03350000083446503,0.026181400817562997
43,cifar,0,krum,labelflip,0.1,0.6557750105857849,0.09970854797135474
44,cifar,0,trimmedmean,clean,0,0.7809500098228455,0.0015218520016684486
45,cifar,0.7,median,randomupdate,0.1,0.6172749996185303,0.04846115058722646
46,cifar,0.4,fedavg,noisedata,0.1,0.7511750012636185,0.006443423498244145
47,cifar,0,fedavg,deletedata,0.5,0.7306250184774399,0.0015258520338073047
48,cifar,0,trimmedmean,labelflip,0.1,0.7553000003099442,0.0051986796048943806
49,cifar,0.7,fedavg,noisedata,0.5,0.6853000074625015,0.014067000724920405
50,cifar,0,fedavg,unbalancedata,0.3,0.7729499936103821,0.0015436606976703964
51,cifar,0.4,fedavg,backdoor,0.3,0.9559999704360962,0.004456441158536397
52,cifar,0.7,krum,labelflip,0.5,0.28622499853372574,0.08292181517892683
53,cifar,0.7,fedavg,randomupdate,0.1,0.10000000149011612,0.0
54,cifar,0,fedavg,randomupdate,0.5,0.10000000149011612,0.0
55,cifar,0,krum,randomupdate,0.5,0.7024749964475632,0.005532636650446576
56,cifar,0.7,median,clean,0,0.6587249934673309,0.0369689915543716
57,cifar,0.7,fedavg,noisedata,0.1,0.7305749952793121,0.012544330300483695
58,cifar,0.4,fedavg,unbalancedata,0.5,0.759100005030632,0.005742166838771131
59,cifar,0.7,fedavg,labelflip,0.3,0.62117500603199,0.09476624750584466
60,cifar,0.7,krum,signflip,0.5,0.2783750034868717,0.013574024200634145
61,cifar,0.4,median,backdoor,0.5,0.9629999995231628,0.0030180207408215948
62,cifar,0,krum,signflip,0.5,0.6890750080347061,0.004500690419574109
63,cifar,0,median,backdoor,0.5,0.9549999833106995,0.002333438135285318
64,cifar,0,fedavg,noisedata,0.3,0.7377000153064728,0.0025842991310664203
65,cifar,0.7,krum,randomupdate,0.3,0.48212500661611557,0.043479314090250736
66,cifar,0.4,krum,randomupdate,0.3,0.6257000118494034,0.04503881367053201
67,cifar,0.4,median,labelflip,0.1,0.7034250050783157,0.01376251545172307
68,cifar,0,fedavg,signflip,0.5,0.10000000149011612,0.0
69,cifar,0.4,fedavg,unbalancedata,0.3,0.7630250006914139,0.0049946060523799445
70,cifar,0,trimmedmean,randomupdate,0.5,0.10000000149011612,0.0
71,cifar,0,krum,backdoor,0.5,0.030000001192092896,0.00836189844958033
72,cifar,0,krum,signflip,0.3,0.6978749930858612,0.006189201920518744
73,cifar,0,median,backdoor,0.1,0.7905000150203705,0.011645007364884368
74,cifar,0.4,trimmedmean,labelflip,0.1,0.7319500148296356,0.008590713542684272
75,cifar,0.7,krum,labelflip,0.3,0.3062000051140785,0.07411018782899673
76,cifar,0,krum,signflip,0.1,0.6975999772548676,0.006597037882026444
77,cifar,0.7,median,randomupdate,0.3,0.10000000149011612,0.0
78,cifar,0.7,fedavg,signflip,0.1,0.10000000149011612,0.0
79,cifar,0.7,trimmedmean,randomupdate,0.3,0.10000000149011612,0.0
80,cifar,0.4,fedavg,unbalancedata,0.1,0.7664500027894974,0.005400739018217639
81,cifar,0.7,median,backdoor,0.3,0.9549999833106995,0.006022738087079874
82,cifar,0,trimmedmean,labelflip,0.5,0.249099999666214,0.19072604027975676
83,cifar,0,median,labelflip,0.5,0.40482500195503235,0.12063803631741947
84,cifar,0.4,fedavg,randomupdate,0.1,0.10000000149011612,0.0
85,cifar,0.7,fedavg,noisedata,0.3,0.699400007724762,0.013993327123689153
86,cifar,0.7,fedavg,overlapdata,0.5,0.7298500090837479,0.01710661237329066
87,cifar,0.7,fedavg,randomupdate,0.3,0.10000000149011612,0.0
88,cifar,0.7,fedavg,unbalancedata,0.5,0.7352499961853027,0.010914806139026137
89,cifar,0.7,fedavg,unbalancedata,0.1,0.7433249950408936,0.011993094723733617
90,cifar,0.7,krum,randomupdate,0.1,0.4741249978542328,0.03745123156880213
91,cifar,0.4,krum,signflip,0.5,0.5912500023841858,0.035917314826644293
92,cifar,0.4,fedavg,overlapdata,0.5,0.7615749835968018,0.007934892709647168
93,cifar,0,fedavg,labelflip,0.1,0.7591499984264374,0.005980826421658707
94,cifar,0.4,median,randomupdate,0.3,0.10000000149011612,0.0
95,cifar,0,trimmedmean,backdoor,0.1,0.8595000058412552,0.0073701833152053555
96,cifar,0,fedavg,clean,0,0.7749499976634979,0.0014741501494239604
97,cifar,0,fedavg,noisedata,0.1,0.7614499926567078,0.002163384012271614
98,cifar,0,fedavg,deletedata,0.1,0.7714749872684479,0.001637737032599629
99,cifar,0,fedavg,backdoor,0.3,0.9519999921321869,0.003815904291907624
100,cifar,0.7,fedavg,randomupdate,0.5,0.10000000149011612,0.0
101,cifar,0,krum,backdoor,0.1,0.029000000096857548,0.00757017712647211
102,cifar,0.7,trimmedmean,labelflip,0.5,0.3528750091791153,0.09941350124504637
103,cifar,0,fedavg,signflip,0.1,0.10000000149011612,0.0
104,cifar,0.4,fedavg,overlapdata,0.1,0.769325003027916,0.006099103182919674
105,cifar,0.7,krum,signflip,0.1,0.4842500016093254,0.03967589964318473
106,cifar,0.4,median,backdoor,0.3,0.9375,0.005800173615137084
107,cifar,0,trimmedmean,randomupdate,0.1,0.10000000149011612,0.0
108,cifar,0.7,krum,backdoor,0.1,0.053500001318752766,0.045837778943584
109,cifar,0.7,trimmedmean,labelflip,0.3,0.4786749929189682,0.036878799618311295
110,cifar,0.4,krum,labelflip,0.5,0.29410000890493393,0.13627127569872619
111,cifar,0.4,trimmedmean,signflip,0.1,0.10000000149011612,0.0
112,cifar,0.4,fedavg,noisedata,0.3,0.731224998831749,0.006504637543729476
113,cifar,0,fedavg,randomupdate,0.1,0.10000000149011612,0.0
114,cifar,0.7,krum,randomupdate,0.5,0.2845250032842159,0.017188443935079924
115,cifar,0.7,median,labelflip,0.5,0.20112499967217445,0.03317948326087736
116,cifar,0.4,krum,clean,0,0.6005000025033951,0.04920500986945765
117,cifar,0.4,median,backdoor,0.1,0.8019999861717224,0.023160132912428757
118,cifar,0.7,fedavg,signflip,0.5,0.10000000149011612,0.0
119,cifar,0.4,median,signflip,0.1,0.709649994969368,0.015135329973464597
120,cifar,0.4,median,randomupdate,0.1,0.7158499956130981,0.02022174745811247
121,cifar,0.4,trimmedmean,signflip,0.5,0.10000000149011612,0.0
122,cifar,0.4,median,labelflip,0.5,0.27594999969005585,0.04975190800272742
123,cifar,0,krum,clean,0,0.6978249996900558,0.006362192912587546
124,cifar,0.4,trimmedmean,labelflip,0.3,0.5900750160217285,0.02947128005921301
125,cifar,0.7,fedavg,unbalancedata,0.3,0.7370750159025192,0.011775644314022865
126,cifar,0.4,krum,backdoor,0.1,0.03250000113621354,0.025203393140719055
127,cifar,0.7,trimmedmean,randomupdate,0.5,0.10000000149011612,0.0
128,cifar,0,median,signflip,0.1,0.7373750060796738,0.002042325057841342
129,cifar,0,fedavg,signflip,0.3,0.10000000149011612,0.0
130,cifar,0.7,fedavg,backdoor,0.3,0.9639999866485596,0.0039902115119240305
131,cifar,0.7,fedavg,clean,0,0.7427499890327454,0.01189526526593654
132,cifar,0.4,trimmedmean,randomupdate,0.3,0.10000000149011612,0.0
133,cifar,0.7,fedavg,deletedata,0.3,0.7224000096321106,0.01102993680919952
134,cifar,0.4,fedavg,signflip,0.1,0.10000000149011612,0.0
135,cifar,0.7,trimmedmean,backdoor,0.3,0.9599999785423279,0.005471529141859483
136,cifar,0.7,trimmedmean,signflip,0.5,0.10000000149011612,0.0
137,cifar,0.7,fedavg,labelflip,0.5,0.31050000339746475,0.14807663185194164
138,cifar,0,krum,randomupdate,0.1,0.7031500041484833,0.006158630006841266
139,cifar,0.4,fedavg,backdoor,0.5,0.9679999947547913,0.003202761732056011
140,cifar,0.7,median,backdoor,0.1,0.8650000095367432,0.024648486438739882
141,cifar,0,median,randomupdate,0.5,0.10000000149011612,0.0
142,cifar,0.4,trimmedmean,labelflip,0.5,0.3184249997138977,0.15874154452476164
143,cifar,0,median,clean,0,0.7768750041723251,0.0017169430357192226
144,cifar,0.7,krum,signflip,0.3,0.4679750055074692,0.04917193011084722
145,cifar,0.4,krum,randomupdate,0.1,0.6034999936819077,0.03839329073200534
146,cifar,0.7,median,labelflip,0.3,0.4556250050663948,0.04203328602203896
147,cifar,0.7,trimmedmean,backdoor,0.1,0.9189999997615814,0.007611499912585094
148,cifar,0.7,trimmedmean,signflip,0.3,0.10000000149011612,0.0
149,cifar,0.7,median,randomupdate,0.5,0.10000000149011612,0.0
150,cifar,0.4,trimmedmean,backdoor,0.3,0.949999988079071,0.0047469789385436115
151,cifar,0.4,fedavg,signflip,0.5,0.10000000149011612,0.0
152,cifar,0.4,fedavg,overlapdata,0.3,0.7673249989748001,0.006705618441091361
153,cifar,0.7,median,signflip,0.5,0.10000000149011612,0.0
154,cifar,0.4,fedavg,deletedata,0.5,0.7254500091075897,0.0044708527946469515
155,cifar,0.4,fedavg,labelflip,0.5,0.36400000751018524,0.16417732697467258
156,cifar,0.4,krum,labelflip,0.3,0.41019999980926514,0.13169636627555922
157,cifar,0,median,randomupdate,0.1,0.7647999823093414,0.0019150976170581742
158,cifar,0.7,krum,backdoor,0.5,0.08950000070035458,0.08599149421918731
159,cifar,0.7,krum,backdoor,0.3,0.046500000171363354,0.052489439549057174
160,cifar,0,median,signflip,0.5,0.10000000149011612,0.0
161,cifar,0.7,trimmedmean,randomupdate,0.1,0.10000000149011612,0.0
162,cifar,0.7,krum,clean,0,0.4877749979496002,0.04211392021301989
163,cifar,0.4,fedavg,backdoor,0.1,0.9279999732971191,0.008355963160041417
164,cifar,0.7,fedavg,labelflip,0.1,0.7106499969959259,0.016218050784369803
165,cifar,0.4,krum,labelflip,0.1,0.49494999647140503,0.09513372129844735
166,cifar,0.4,krum,backdoor,0.5,0.041999999433755875,0.0352667859219588
167,cifar,0.7,fedavg,signflip,0.3,0.10000000149011612,0.0
168,cifar,0,median,backdoor,0.3,0.9230000078678131,0.0043195027990906385
169,cifar,0.7,trimmedmean,backdoor,0.5,0.9760000109672546,0.005105937122098092
170,cifar,0.7,fedavg,deletedata,0.5,0.6988500207662582,0.011012851693047818
171,cifar,0.4,krum,signflip,0.1,0.6099749952554703,0.037053344921512396
172,cifar,0,fedavg,backdoor,0.5,0.964000016450882,0.00251920778956491
173,cifar,0,fedavg,overlapdata,0.5,0.7712750136852264,0.001935702829629606
174,cifar,0,median,randomupdate,0.3,0.10000000149011612,0.0
175,cifar,0,fedavg,labelflip,0.5,0.4389500021934509,0.17613816381829375
176,cifar,0.4,fedavg,randomupdate,0.3,0.10000000149011612,0.0
177,cifar,0,fedavg,overlapdata,0.3,0.7808250039815903,0.0020118377460037933
178,cifar,0,median,signflip,0.3,0.10000000149011612,0.0
179,cifar,0.7,median,backdoor,0.5,0.9739999771118164,0.004095714125520022
180,cifar,0.4,trimmedmean,randomupdate,0.1,0.10000000149011612,0.0
181,cifar,0.7,fedavg,backdoor,0.5,0.9729999899864197,0.0030924765119300806
182,cifar,0,trimmedmean,backdoor,0.3,0.9350000023841858,0.0035262621251989012
183,cifar,0.4,fedavg,deletedata,0.1,0.7605250030755997,0.0049913084779897475
184,cifar,0.4,median,signflip,0.3,0.10000000149011612,0.0
185,cifar,0.7,krum,labelflip,0.1,0.36445000022649765,0.05492781135789147
186,cifar,0,trimmedmean,backdoor,0.5,0.9639999866485596,0.002650453058513567
187,cifar,0.7,median,labelflip,0.1,0.613999992609024,0.03588427971110996
188,cifar,0.4,fedavg,labelflip,0.1,0.7458249926567078,0.01154699532605693
189,cifar,0.7,fedavg,overlapdata,0.1,0.7427999824285507,0.012958756091288279
190,cifar,0.7,trimmedmean,clean,0,0.7443249970674515,0.01134735331951684
191,cifar,0,krum,labelflip,0.5,0.09714999981224537,0.04604511034044814
192,cifar,0,krum,deletedata,0.5,0.544700026512146,0.004249975009610568
193,cifar,0.7,krum,deletedata,0.5,0.44599999487400055,0.043852468623159876
194,cifar,0,krum,deletedata,0.1,0.6632000207901001,0.007611849487579865
195,cifar,0.4,trimmedmean,overlapdata,0.3,0.7337500154972076,0.015119070890498156
196,cifar,0.7,trimmedmean,noisedata,0.5,0.5711999833583832,0.04979517789226453
197,cifar,0.4,krum,deletedata,0.1,0.5865499973297119,0.05875290656217856
198,cifar,0.7,trimmedmean,unbalancedata,0.3,0.6888000071048737,0.027704665234294764
199,cifar,0.7,trimmedmean,unbalancedata,0.5,0.6615999937057495,0.03767332369095325
200,cifar,0.4,trimmedmean,noisedata,0.5,0.6331499814987183,0.031108673033747637
201,cifar,0.7,median,overlapdata,0.5,0.6683000028133392,0.04220180238121786
202,cifar,0,krum,deletedata,0.3,0.5679500102996826,0.005044043454012582
203,cifar,0.4,trimmedmean,overlapdata,0.5,0.7109000086784363,0.026316419953035488
204,cifar,0.4,trimmedmean,unbalancedata,0.1,0.7497000098228455,0.007816799644648412
205,cifar,0.4,trimmedmean,unbalancedata,0.3,0.7357499897480011,0.010889847784228354
206,cifar,0,krum,overlapdata,0.3,0.6965000033378601,0.005654119223590328
