,dataset,non_iid,aggregator,attack,fraction,accuracy_m,accuracy_s
0,mnist,0,trimmedmean,noisedata,0.3,0.8757499903440475,0.005012194187568424
1,mnist,0.4,median,overlapdata,0.3,0.8472999930381775,0.022552530757108124
2,mnist,0.7,median,overlapdata,0.5,0.8284750133752823,0.030603707568194513
3,mnist,0.7,median,randomupdate,0.3,0.6334500014781952,0.043095488912391025
4,mnist,0.4,median,randomupdate,0.3,0.7503499984741211,0.03499845821564864
5,mnist,0,trimmedmean,signflip,0.3,0.10000000149011612,0.0
6,mnist,0.4,fedavg,backdoor,0.5,1.0,0.0
7,mnist,0,krum,deletedata,0.5,0.8279000222682953,0.007410014588001816
8,mnist,0.7,krum,overlapdata,0.3,0.571800023317337,0.04390447882900557
9,mnist,0,trimmedmean,deletedata,0.1,0.8916000127792358,0.002483164011426845
10,mnist,0.4,median,noisedata,0.5,0.8268499970436096,0.01846627663474562
11,mnist,0,trimmedmean,overlapdata,0.5,0.888049989938736,0.0029431956257893865
12,mnist,0,krum,randomupdate,0.1,0.845100000500679,0.02005005243598611
13,mnist,0,median,randomupdate,0.5,0.1000250019133091,0.0035266661535652694
14,mnist,0.4,krum,noisedata,0.1,0.715149998664856,0.0351751701154008
15,mnist,0,median,signflip,0.1,0.8846000134944916,0.003389925103248874
16,mnist,0.4,median,labelflip,0.1,0.8497499972581863,0.018442859721695674
17,mnist,0,fedavg,signflip,0.3,0.10000000149011612,0.0
18,mnist,0.4,trimmedmean,signflip,0.1,0.8252250105142593,0.07091993119676895
19,mnist,0,fedavg,labelflip,0.5,0.7610749900341034,0.2783467440877936
20,mnist,0,fedavg,deletedata,0.1,0.8935250043869019,0.0018226726793851727
21,mnist,0.7,trimmedmean,noisedata,0.5,0.8022499978542328,0.021935527937499096
22,mnist,0.4,fedavg,clean,0,0.8774999976158142,0.010985424572248092
23,mnist,0.7,trimmedmean,unbalancedata,0.3,0.8326500058174133,0.03720500659598668
24,mnist,0,krum,signflip,0.1,0.8446000218391418,0.012553656190468753
25,mnist,0.7,fedavg,unbalancedata,0.5,0.8575499951839447,0.017389656427015836
26,mnist,0.4,trimmedmean,signflip,0.3,0.10000000149011612,0.0
27,mnist,0.4,median,deletedata,0.3,0.8652499914169312,0.01342293373815523
28,mnist,0.4,trimmedmean,backdoor,0.3,0.9959999918937683,0.0012806307008126254
29,mnist,0,krum,deletedata,0.1,0.8380500078201294,0.013043616642717441
30,mnist,0.7,fedavg,labelflip,0.3,0.813649982213974,0.14266318054289387
31,mnist,0.4,median,overlapdata,0.5,0.8479500114917755,0.013433923080232555
32,mnist,0.7,krum,unbalancedata,0.1,0.584199994802475,0.036334921393116254
33,mnist,0,median,deletedata,0.1,0.8887999951839447,0.0016769315757879327
